Energieträger;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Steinkohle;2306;2330;2196;2139;2140;2060;2090;2065;2059;1967;2021;1949;1927;2010;1909;1808;1964;2017;1800;1496;1714;1715;1725;1840;1759;1729;1693;1502;1428;1095
Braunkohle;3201;2507;2176;1983;1861;1734;1688;1595;1514;1473;1550;1633;1663;1639;1648;1596;1576;1613;1554;1507;1512;1564;1645;1629;1574;1565;1511;1507;1481;1161
Mineralöle;5228;5547;5628;5746;5692;5689;5808;5753;5775;5599;5499;5577;5381;5286;5214;5166;5121;4626;4904;4635;4684;4525;4527;4628;4493;4491;4566;4671;4452;4511
Gase;2304;2422;2398;2536;2580;2812;3145;3005;3031;3022;2996;3158;3157;3194;3209;3261;3326;3201;3231;3047;3181;2923;2933;3074;2672;2781;3068;3167;3099;3200
Erneuerbare Energien;196;197;207;228;253;275;270;344;379;403;417;432;455;561;650;769;939;1117;1147;1201;1413;1463;1385;1499;1519;1644;1676;1797;1802;1896
Sonstige Energieträger;0;0;0;0;0;0;0;0;0;0;56;51;43;138;165;211;157;159;202;224;243;255;231;208;226;224;236;235;214;214
Kernenergie;1668;1609;1733;1675;1650;1682;1764;1859;1764;1855;1851;1868;1798;1801;1822;1779;1826;1533;1623;1472;1533;1178;1085;1061;1060;1001;923;833;829;819
